-3.000		-0.047	
-2.939		-0.154	
-2.879		-0.232	
-2.818		-0.274	
-2.758		-0.275	
-2.697		-0.237	
-2.636		-0.165	
-2.576		-0.067	
-2.515		0.046	
-2.455		0.164	
-2.394		0.276	
-2.333		0.373	
-2.273		0.447	
-2.212		0.494	
-2.152		0.509	
-2.091		0.495	
-2.030		0.450	
-1.970		0.380	
-1.909		0.289	
-1.848		0.181	
-1.788		0.063	
-1.727		-0.061	
-1.667		-0.186	
-1.606		-0.306	
-1.545		-0.419	
-1.485		-0.521	
-1.424		-0.610	
-1.364		-0.684	
-1.303		-0.744	
-1.242		-0.789	
-1.182		-0.819	
-1.121		-0.836	
-1.061		-0.839	
-1.000		-0.831	
-0.939		-0.813	
-0.879		-0.786	
-0.818		-0.752	
-0.758		-0.711	
-0.697		-0.665	
-0.636		-0.615	
-0.576		-0.562	
-0.515		-0.506	
-0.455		-0.449	
-0.394		-0.391	
-0.333		-0.332	
-0.273		-0.272	
-0.212		-0.212	
-0.152		-0.151	
-0.091		-0.091	
-0.030		-0.030	
0.030		0.030	
0.091		0.091	
0.152		0.152	
0.212		0.212	
0.273		0.273	
0.333		0.334	
0.394		0.394	
0.455		0.453	
0.515		0.512	
0.576		0.569	
0.636		0.623	
0.697		0.675	
0.758		0.722	
0.818		0.765	
0.879		0.802	
0.939		0.831	
1.000		0.851	
1.061		0.862	
1.121		0.861	
1.182		0.847	
1.242		0.820	
1.303		0.778	
1.364		0.722	
1.424		0.650	
1.485		0.565	
1.545		0.466	
1.606		0.358	
1.667		0.241	
1.727		0.121	
1.788		0.001	
1.848		-0.113	
1.909		-0.216	
1.970		-0.303	
2.030		-0.368	
2.091		-0.407	
2.152		-0.417	
2.212		-0.396	
2.273		-0.344	
2.333		-0.264	
2.394		-0.162	
2.455		-0.044	
2.515		0.080	
2.576		0.200	
2.636		0.304	
2.697		0.383	
2.758		0.427	
2.818		0.433	
2.879		0.398	
2.939		0.327	
3.000		0.227	
